trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
162,False,"{'a': 0.5, 'e': 0.2989437052720013}",25,19,-11.712034396381108,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.2967100142940453}",25,0,-4.395298757866358,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.29449301333262756}",20,0,-72.33394979574736,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
165,False,"{'a': 0.5, 'e': 0.2922925776808594}",25,9,4.377494276550005,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.29010858356365526}",30,16,-25.463491719954458,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
167,False,"{'a': 0.5, 'e': 0.2879409081307703}",20,8,-27.472376906738802,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
168,False,"{'a': 0.5, 'e': 0.28578942944988966}",25,0,-13.667685324296409,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
169,False,"{'a': 0.5, 'e': 0.2836540264997704}",20,7,-3.781386788815521,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.2815345791634335}",20,8,8.11728881719588,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.27943096822140734}",20,14,8.045617282270806,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.2773430753450219}",20,10,-35.683458394471295,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
173,False,"{'a': 0.5, 'e': 0.27527078308975234}",20,13,12.7754892228687,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.27321397488861293}",30,9,30.12511109606231,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.2711725350455999}",20,0,-60.18626888933245,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
176,False,"{'a': 0.5, 'e': 0.26914634872918386}",20,9,21.54668003573284,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.2671353019658504}",35,4,-79.49673839750781,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 2}",1
178,False,"{'a': 0.5, 'e': 0.26513928163368866}",20,9,21.20863350982467,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.2631581754560287}",20,5,4.939571623620516,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.26119187199512567}",20,3,-8.69823529866285,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.25924026064589156}",25,13,-3.0476313736190734,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.25730323162967317}",30,19,15.550311477635088,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.2553806759880777}",20,7,-29.681587442159888,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.2534724855768434}",20,0,-37.78771313495014,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
185,False,"{'a': 0.5, 'e': 0.2515785530597565}",30,5,26.76165348988494,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.24969877190261355}",25,0,-2.105802718656692,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
187,False,"{'a': 0.5, 'e': 0.24783303636722875}",20,6,-20.780077144350496,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.2459812415054864}",30,0,36.7978942154188,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
189,False,"{'a': 0.5, 'e': 0.2441432831534371}",20,12,16.395331198897253,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.24231905792543904}",30,9,27.185585132995694,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.24050846320834213}",20,10,-25.253415851740044,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
192,False,"{'a': 0.5, 'e': 0.23871139715571618}",25,17,0.7505365581005763,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.23692775868212176}",30,16,4.341966032701677,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
